ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Andean Subregion,  ,2023,In,53,63.76076529,0.609809349,0.111,379652,660,-,416.24,143051,3631,595432
7,The Americas,  ,2014,In,53,30.96091965,1.350506334,0.058,366394,683,-,125.05,946337,15982,1183408
4,Uruguay,  ,2018,Out,53,,,,0,0,52,0,3470,0,0
6,Grenada,  ,2017,Out,53,100,0,0,239,0,52,213.39,112,0,239
6,Saint Martin,  ,2015,Out,53,8.027522936,0,0,35,0,50,"1,362.50",32,0,436
6,Antigua and Barbuda,  ,2018,Out,53,87.5,0,0,7,0,52,7.77,103,0,8
6,Guadeloupe,DEN 1,2018,Out,53,3.196347032,0,0,14,0,51,97.55,449,0,438
3,Venezuela,"DEN 1,2,3,4",2014,Out,53,0.079973494,0.252487747,0,70,0,53,283.72,30851,221,87529
6,Jamaica,"DEN 2,4",2023,Out,53,18.75305624,0,0.073,1534,6,52,275.14,2973,0,8180
6,Bahamas,  ,2024,Out,53,,,,0,0,6,0,397,0,0
6,Grenada,  ,2023,Out,53,0,0.636942675,0.159,0,1,52,550.88,114,4,628
2,Mexico,"DEN 1,2,3,4",2023,Out,53,19.57310865,0.594683465,0.073,54406,203,52,211.81,131230,1653,277963
6,Dominica,  ,2022,Out,53,100,0,0,3,0,52,4,75,0,3
2,Honduras,"DEN 1,2,3,4",2023,Out,53,5.961820852,0.669603524,0.144,2030,49,52,338.37,10063,228,34050
6,Saint Lucia,  ,2022,Out,53,100,0,0,15,0,52,8.98,167,0,15
6,Saint Vincent and the Grenadines,  ,2022,Out,53,100,0,0,16,0,52,15.84,101,0,16
6,Martinique,  ,2018,Out,53,0,0,0,0,0,5,18.96,385,0,73
4,Argentina,"DEN 1,4",2014,Out,53,14.98470948,0,0,490,0,53,7.82,41803,0,3270
6,Saint Lucia,DEN 1,2016,Out,53,40.81632653,0,0,80,0,52,119.51,164,0,196
6,Suriname,DEN 1,2016,Out,53,16.66666667,0,0,1,0,52,1.09,548,0,6
6,Saint Lucia,  ,2019,Out,53,100,0,0,20,0,52,11.11,180,0,20
6,Dominica,DEN 3,2019,Out,53,4.409005629,1.125703565,0.094,47,1,52,"1,440.54",74,12,1066
6,Antigua and Barbuda,  ,2015,Out,53,100,0,0,14,0,52,15.22,92,0,14
3,Peru,"DEN 1,2,3,4",2015,Out,53,90.71908921,0.343220694,0.114,32511,41,52,115.01,31161,123,35837
4,Uruguay,  ,2015,Out,53,0,0,0,0,0,52,0.38,3430,0,13
5,Puerto Rico,  ,2017,Out,53,,,,0,0,52,0,3663,0,0
6,Barbados,"DEN 2,3",2024,Out,53,90.31914894,0,0,849,0,10,311.26,302,0,940
3,Venezuela,DEN 1,2017,Out,53,18.43296576,4.167150319,0.186,1588,16,52,26.94,31977,359,8615
6,Saint Kitts and Nevis,  ,2022,Out,53,0,0,0,0,0,48,1.85,54,0,1
4,Chile,  ,2023,Out,53,,,,0,0,52,0,19212,0,0
3,Colombia,"DEN 1,2,3",2017,Out,53,26.8311976,0.933396614,0.059,6784,15,52,51.53,49066,236,25284
4,Argentina,"DEN 1,2,4",2020,Out,53,98.41133461,0.146568281,0.032,58415,19,48,132.82,44689,87,59358
6,Virgin Islands (US),  ,2020,Out,53,,,,0,0,53,0,105,0,0
6,Montserrat,  ,2016,Out,53,0,0,0,0,0,48,500,5,0,25
6,Saint Kitts and Nevis,  ,2019,Out,53,2.173913043,0,0,1,0,48,104.55,44,0,46
6,Jamaica,  ,2020,Out,53,1.670378619,,0.111,15,1,53,30.98,2899,,898
6,Saint Martin,DEN 1,2021,Out,53,,0,0,,0,11,521.21,33,0,172
6,Virgin Islands (US),  ,2023,Out,53,,,,0,0,52,0,106,0,0
6,Bermuda,  ,2017,Out,53,,,,0,0,52,0,71,0,0
2,Costa Rica,"DEN 1,2,3",2014,Out,53,,0.035906643,0,,0,53,225.6,4938,4,11140
3,Colombia,"DEN 1,2,3,4",2014,Out,53,44.40472332,2.425561473,0.082,47946,88,53,220.67,48930,2619,107975
6,Guadeloupe,DEN 2,2021,Out,53,,0,0,,0,3,135,400,0,540
6,Martinique,"DEN 1,2,3",2021,Out,53,4.193849021,0,0,45,0,11,286.13,375,0,1073
4,Paraguay,"DEN 1,2",2022,Out,53,2.625201939,0.350026925,0,195,0,52,99.72,7449,26,7428
6,Turks and Caicos Islands,"DEN 2,3",2023,Out,53,58.79120879,0,0,107,0,44,319.3,57,0,182
4,Brazil,"DEN 1,2,3,4",2024,Out,53,44.38367999,0.056564474,0.037,2459898,2073,17,"2,589.97",213993,3135,5542348
6,Curaçao,  ,2023,Out,53,,,,,,-,,152,,
6,Haiti,  ,2023,Out,53,,,,,,-,,11542,,
6,Aruba,  ,2023,Out,53,59.09090909,0,0,13,0,48,18.18,121,0,22
4,Argentina,"DEN 1,3",2017,Out,53,45.60143627,1.256732496,0,254,0,52,1.26,44271,7,557
6,Grenada,DEN 3,2020,Out,53,67.58893281,1.581027668,0,171,0,53,234.26,108,4,253
6,Bermuda,  ,2014,Out,53,100,0,0,1,0,53,1.43,70,0,1
